"Navigate","Open Call Hierarchy","⌃⌥H","JavaScript View"
"Edit","Rename","⇧⌥R","Editing JSP Source"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks Editor"
"Navigate","Open Structure","⌘F3","Editing JavaScript Source"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Navigate","Search Repository for Task","⇧⌘F12","In Windows"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Server","Debug","⌥⌘D","In Servers View"
"Text Editing","Scroll Line Up","⌃↑","Editing Text"
"Edit","Select Enclosing Element","⇧⌥↑","Editing in Structured Text Editors"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Web Page Editor Layout","Graphical Designer","⇧⌘F11","Using Web Page Editor"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context"
"Edit","Find and Replace","⌘F","In Windows"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Navigate","Go to Line","⌘G","Editing Text"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Source","Add JSDoc Comment","⌥⌘J","JavaScript View"
"Run/Debug","Run Maven Build","⇧⌥X M","In Windows"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"View","Zoom Out","⌘-","In Windows"
"Run/Debug","Execute","⌘U","In Windows"
"Text Editing","Text End","⌘↘","Editing Text"
"Terminal view commands","Terminal view insert","⌥N","Terminal widget context"
"Navigate","Previous Page","⇧⌘F5","In Faces Config Editor"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks Editor"
"Edit","Delete","⌦","In Windows"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Edit","Find Next","⌘K","Editing Text"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Navigate","Quick Outline","⌘R","WikiText Markup Source Context"
"EMF Code Generation","Generate Code","⇧⌥G","In Windows"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing JavaScript Source"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"File","Save All","⇧⌘S","In Windows"
"Source","Show Source Quick Menu","⌥⌘S","JavaScript View"
"Window","Show Contributing Plug-in","⇧⌥F3","In Dialogs and Windows"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Server","Stop","⌥⌘S","In Servers View"
"Terminal view commands","Terminal view insert","⌥V","Terminal widget context"
